iter	Passed	Remaining
840	39653	7496
841	39701	7449
842	39750	7403
843	39804	7357
844	39851	7309
845	39904	7263
846	39959	7218
847	40025	7174
848	40082	7128
849	40135	7082
850	40195	7037
851	40248	6991
852	40336	6951
853	40389	6904
854	40438	6858
855	40489	6811
856	40552	6766
857	40619	6722
858	40679	6677
859	40736	6631
860	40796	6586
861	40863	6541
862	40925	6496
863	40986	6451
864	41039	6405
865	41092	6358
866	41157	6313
867	41222	6268
868	41270	6221
869	41320	6174
870	41381	6128
871	41437	6082
872	41511	6038
873	41569	5992
874	41624	5946
875	41664	5897
876	41724	5851
877	41774	5804
878	41831	5758
879	41891	5712
880	41948	5666
881	42005	5619
882	42069	5574
883	42127	5528
884	42193	5482
885	42237	5434
886	42281	5386
887	42335	5339
888	42392	5293
889	42467	5248
890	42522	5201
891	42576	5154
892	42621	5106
893	42681	5060
894	42733	5013
895	42780	4965
896	42825	4917
897	42886	4871
898	42948	4825
899	43009	4778
900	43067	4732
901	43117	4684
902	43171	4637
903	43221	4589
904	43283	4543
905	43344	4497
906	43401	4450
907	43463	4403
908	43519	4356
909	43593	4311
910	43664	4265
911	43736	4220
912	43794	4173
913	43839	4124
914	43891	4077
915	43946	4030
916	43994	3982
917	44041	3933
918	44097	3886
919	44150	3839
920	44203	3791
921	44260	3744
922	44314	3696
923	44366	3649
924	44413	3601
925	44467	3553
926	44533	3506
927	44581	3458
928	44627	3410
929	44663	3361
930	44714	3313
931	44773	3266
932	44827	3219
933	44878	3171
934	44927	3123
935	44968	3074
936	45019	3026
937	45071	2979
938	45121	2931
939	45176	2883
940	45231	2835
941	45277	2787
942	45324	2739
943	45376	2691
944	45422	2643
945	45468	2595
946	45540	2548
947	45590	2500
948	45641	2452
949	45706	2405
950	45751	2357
951	45801	2309
952	45854	2261
953	45906	2213
954	45961	2165
955	46018	2118
956	46067	2069
957	46122	2022
958	46184	1974
959	46236	1926
960	46296	1878
961	46358	1831
962	46434	1784
963	46491	1736
964	46543	1688
965	46616	1640
966	46672	1592
967	46728	1544
968	46785	1496
969	46829	1448
970	46881	1400
971	46937	1352
972	47013	1304
973	47084	1256
974	47151	1209
975	47208	1160
976	47257	1112
977	47305	1064
978	47363	1015
979	47419	967
980	47481	919
981	47544	871
982	47615	823
983	47701	775
984	47760	727
985	47828	679
986	47877	630
987	47936	582
988	47981	533
989	48037	485
990	48102	436
991	48154	388
992	48205	339
993	48267	291
994	48321	242
995	48373	194
996	48429	145
997	48480	97
998	48537	48
999	48605	0
